UKATEGORIE;UART;ULICHTVERH;XGCSWGS84;YGCSWGS84;STRZUSTAND;GEN_K
"2";"0";"0";6.57551535800;51.08602445100;"0";Rhein-Kreis Neuss
"3";"5";"0";7.58894951900;51.96553858800;"1";Münster
"3";"0";"1";6.67793867200;51.03655645600;"1";Rhein-Kreis Neuss
"2";"0";"2";6.61834751600;51.32224195600;"0";Krefeld
"1";"5";"0";8.84165532600;51.80734216000;"1";Lippe
"3";"3";"2";6.47505058100;51.32706714900;"1";Viersen
"2";"5";"2";8.62501468900;52.39506767600;"0";Minden-Lübbecke
"3";"5";"0";6.90492078900;50.89415270400;"0";Rhein-Erft-Kreis
"3";"0";"0";7.25626383800;51.80837807900;"1";Coesfeld
"2";"5";"0";6.83906348200;51.04124989100;"1";Köln
"3";"5";"2";6.63926931400;51.44666402000;"1";Wesel
"2";"5";"2";7.18587774300;51.39645099600;"1";Ennepe-Ruhr-Kreis
"2";"5";"0";6.90804788700;50.93436990800;"0";Köln
"2";"0";"0";6.94378282500;51.13482421400;"0";Mettmann
"3";"5";"2";6.93951467800;50.93880432900;"0";Köln
"3";"5";"2";7.39163133000;51.62229489100;"0";Recklinghausen
"3";"5";"2";8.61173058200;51.90114220100;"1";Gütersloh
"3";"5";"0";6.05494507100;51.78677614800;"0";Kleve
"2";"0";"0";6.63841507400;51.35621801900;"1";Krefeld
"3";"5";"2";8.68368157900;51.82841029600;"1";Paderborn
"3";"2";"2";7.45017546600;51.38102901400;"0";Hagen
"3";"8";"0";8.24740755200;51.88494677300;"1";Gütersloh
"3";"0";"2";6.91656595900;50.95029380000;"0";Köln
"3";"2";"0";7.29386444500;51.42615933300;"1";Ennepe-Ruhr-Kreis
"2";"5";"2";7.44014653400;51.59336554600;"1";Unna
"2";"5";"0";7.49451504000;51.60468618400;"0";Unna
"3";"5";"2";6.57397489900;50.98722900100;"0";Rhein-Erft-Kreis
"3";"5";"0";7.99274906500;51.99619339600;"1";Warendorf
"3";"0";"0";6.88985497100;51.11454636400;"1";Mettmann
"3";"5";"0";6.91657345000;50.94988235800;"0";Köln
"2";"5";"0";7.58669838800;52.10345971900;"0";Steinfurt
"2";"5";"2";7.52862269300;51.61820173700;"1";Unna
"3";"5";"0";7.52481880500;51.62116090800;"0";Unna
"2";"5";"2";7.46784402800;51.50782574500;"1";Dortmund
"3";"5";"2";7.53222923100;52.17876865000;"1";Steinfurt
"3";"5";"0";7.42673209800;51.76652073800;"0";Coesfeld
"3";"5";"0";6.15141338700;51.67519537400;"0";Kleve
"3";"5";"0";7.00174868400;52.08475455600;"0";Borken
"3";"5";"1";6.91702975500;51.16448006900;"0";Mettmann
"3";"0";"0";6.26479249100;51.05550959300;"0";Heinsberg
"3";"5";"0";6.06836852900;51.10491927000;"0";Heinsberg
"2";"3";"0";7.02794352900;52.20791997200;"0";Borken
"3";"3";"0";6.07997533100;50.76867533600;"0";Städteregion Aachen
"3";"5";"0";6.05234346900;50.78692398600;"0";Städteregion Aachen
